StartFrame	EndFrame	EndType	Filename	FileSize	Deps	ShowFrames	Duration_sec
0	0	stop	game_F0000.swf	536	1	2	0.17
1	1	none	game_F0001.swf	536	1	2	0.17
2	2	none	game_F0002.swf	101923	43	2	0.17
3	3	none	game_F0003.swf	101145	41	2	0.17
4	4	none	game_F0004.swf	101143	43	2	0.17
5	5	none	game_F0005.swf	100700	37	2	0.17
6	6	none	game_F0006.swf	8341	14	2	0.17
7	7	none	game_F0007.swf	7807	14	2	0.17
8	8	none	game_F0008.swf	8286	14	2	0.17
9	9	none	game_F0009.swf	536	1	2	0.17
10	10	none	game_F0010.swf	536	1	2	0.17
11	11	none	game_F0011.swf	101929	43	2	0.17
12	12	none	game_F0012.swf	101075	41	2	0.17
13	13	none	game_F0013.swf	101149	43	2	0.17
14	14	none	game_F0014.swf	108904	52	2	0.17
15	15	none	game_F0015.swf	108099	50	2	0.17
16	16	none	game_F0016.swf	536	1	2	0.17
17	17	none	game_F0017.swf	101955	44	2	0.17
18	18	none	game_F0018.swf	101150	41	2	0.17
19	20	none	game_F0019.swf	8293	14	3	0.25
21	21	none	game_F0021.swf	536	1	2	0.17
22	22	none	game_F0022.swf	536	1	2	0.17
23	23	none	game_F0023.swf	536	1	2	0.17
24	24	none	game_F0024.swf	8282	14	2	0.17
25	25	none	game_F0025.swf	7803	14	2	0.17
26	27	none	game_F0026.swf	8343	14	3	0.25
28	28	none	game_F0028.swf	100931	41	2	0.17
29	29	none	game_F0029.swf	101145	41	2	0.17
30	30	none	game_F0030.swf	101143	43	2	0.17
31	31	none	game_F0031.swf	100700	37	2	0.17
32	32	none	game_F0032.swf	100700	37	2	0.17
33	33	none	game_F0033.swf	101145	41	2	0.17
34	34	none	game_F0034.swf	101907	43	2	0.17
35	35	none	game_F0035.swf	101143	43	2	0.17
36	36	none	game_F0036.swf	101801	41	2	0.17
37	37	none	game_F0037.swf	536	1	2	0.17
38	38	none	game_F0038.swf	103212	47	2	0.17
39	39	none	game_F0039.swf	101132	42	2	0.17
40	40	none	game_F0040.swf	536	1	2	0.17
41	41	none	game_F0041.swf	8286	14	2	0.17
42	42	none	game_F0042.swf	7807	14	2	0.17
43	43	none	game_F0043.swf	9480	16	2	0.17
44	44	none	game_F0044.swf	8354	14	2	0.17
45	45	none	game_F0045.swf	7974	16	2	0.17
46	46	none	game_F0046.swf	8475	14	2	0.17
47	47	none	game_F0047.swf	8286	14	2	0.17
48	48	none	game_F0048.swf	9480	16	2	0.17
49	50	none	game_F0049.swf	9487	16	3	0.25
51	51	none	game_F0051.swf	8288	14	2	0.17
52	52	none	game_F0052.swf	7809	14	2	0.17
53	53	none	game_F0053.swf	8356	14	2	0.17
54	54	none	game_F0054.swf	8477	14	2	0.17
55	55	none	game_F0055.swf	9467	16	2	0.17
56	56	none	game_F0056.swf	7976	16	2	0.17
57	57	none	game_F0057.swf	536	1	2	0.17
58	58	none	game_F0058.swf	536	1	2	0.17
59	60	none	game_F0059.swf	538	1	3	0.25
61	61	none	game_F0061.swf	8287	14	2	0.17
62	62	none	game_F0062.swf	8476	14	2	0.17
63	63	none	game_F0063.swf	8355	14	2	0.17
64	64	none	game_F0064.swf	7975	16	2	0.17
65	65	none	game_F0065.swf	101801	41	2	0.17
66	66	none	game_F0066.swf	101923	43	2	0.17
67	67	none	game_F0067.swf	536	1	2	0.17
68	68	none	game_F0068.swf	101923	43	2	0.17
69	69	none	game_F0069.swf	536	1	2	0.17
70	70	none	game_F0070.swf	8475	14	2	0.17
71	71	none	game_F0071.swf	8354	14	2	0.17
72	72	none	game_F0072.swf	8483	14	2	0.17
73	73	none	game_F0073.swf	8355	14	2	0.17
74	74	none	game_F0074.swf	632	3	2	0.17
75	75	none	game_F0075.swf	8286	14	2	0.17
76	76	none	game_F0076.swf	7807	14	2	0.17
77	77	none	game_F0077.swf	101801	41	2	0.17
78	78	none	game_F0078.swf	101127	42	2	0.17
79	79	none	game_F0079.swf	101069	41	2	0.17
80	80	none	game_F0080.swf	8279	14	2	0.17
81	81	none	game_F0081.swf	9536	16	2	0.17
82	82	none	game_F0082.swf	8484	14	2	0.17
83	83	none	game_F0083.swf	9466	16	2	0.17
84	84	none	game_F0084.swf	103104	45	2	0.17
85	85	none	game_F0085.swf	101147	43	2	0.17
86	86	none	game_F0086.swf	101851	43	2	0.17
87	87	none	game_F0087.swf	101859	43	2	0.17
88	88	none	game_F0088.swf	100931	41	2	0.17
89	89	none	game_F0089.swf	7808	14	2	0.17
90	90	none	game_F0090.swf	100700	37	2	0.17
91	91	none	game_F0091.swf	101851	43	2	0.17
92	92	none	game_F0092.swf	100931	41	2	0.17
93	93	none	game_F0093.swf	101143	43	2	0.17
94	94	none	game_F0094.swf	64833	17	2	0.17
95	95	none	game_F0095.swf	9208	18	2	0.17
96	96	none	game_F0096.swf	101145	41	2	0.17
97	97	none	game_F0097.swf	101069	41	2	0.17
98	98	none	game_F0098.swf	101923	43	2	0.17
99	101	none	game_F0099.swf	102156	47	4	0.33
102	102	none	game_F0102.swf	536	1	2	0.17
103	103	none	game_F0103.swf	101913	43	2	0.17
104	104	none	game_F0104.swf	101857	43	2	0.17
105	105	none	game_F0105.swf	101913	43	2	0.17
106	106	none	game_F0106.swf	536	1	2	0.17
107	107	none	game_F0107.swf	101149	43	2	0.17
108	108	none	game_F0108.swf	101807	41	2	0.17
109	109	none	game_F0109.swf	101929	43	2	0.17
110	110	none	game_F0110.swf	101829	41	2	0.17
111	111	none	game_F0111.swf	9466	16	2	0.17
112	112	none	game_F0112.swf	101950	44	2	0.17
113	113	none	game_F0113.swf	101859	43	2	0.17
114	114	none	game_F0114.swf	102744	41	2	0.17
115	115	none	game_F0115.swf	101823	41	2	0.17
116	116	none	game_F0116.swf	101851	43	2	0.17
117	117	none	game_F0117.swf	101907	43	2	0.17
118	118	none	game_F0118.swf	9465	16	2	0.17
119	119	none	game_F0119.swf	64832	17	2	0.17
120	120	none	game_F0120.swf	8475	14	2	0.17
121	121	none	game_F0121.swf	8354	14	2	0.17
122	122	none	game_F0122.swf	8286	14	2	0.17
123	123	none	game_F0123.swf	8278	14	2	0.17
124	124	none	game_F0124.swf	8483	14	2	0.17
125	125	none	game_F0125.swf	9480	16	2	0.17
126	126	none	game_F0126.swf	7807	14	2	0.17
127	127	none	game_F0127.swf	101907	43	2	0.17
128	128	none	game_F0128.swf	101851	43	2	0.17
129	129	none	game_F0129.swf	101069	41	2	0.17
130	130	none	game_F0130.swf	101143	43	2	0.17
131	131	none	game_F0131.swf	100700	37	2	0.17
132	132	none	game_F0132.swf	536	1	2	0.17
133	133	none	game_F0133.swf	101801	41	2	0.17
134	134	none	game_F0134.swf	101911	43	2	0.17
135	135	none	game_F0135.swf	101923	43	2	0.17
136	136	none	game_F0136.swf	101823	41	2	0.17
137	137	none	game_F0137.swf	101145	41	2	0.17
138	138	none	game_F0138.swf	101137	42	2	0.17
139	139	none	game_F0139.swf	8003	16	2	0.17
140	140	none	game_F0140.swf	9535	16	2	0.17
141	141	none	game_F0141.swf	536	1	2	0.17
142	142	none	game_F0142.swf	101950	44	2	0.17
143	143	none	game_F0143.swf	108923	53	2	0.17
144	144	none	game_F0144.swf	108781	51	2	0.17
145	145	none	game_F0145.swf	108328	54	2	0.17
146	146	none	game_F0146.swf	108335	54	2	0.17
147	147	none	game_F0147.swf	108767	59	2	0.17
148	148	none	game_F0148.swf	109346	58	2	0.17
149	149	none	game_F0149.swf	108504	56	2	0.17
150	150	none	game_F0150.swf	110073	54	2	0.17
151	151	none	game_F0151.swf	63639	15	2	0.17
152	152	none	game_F0152.swf	9481	16	2	0.17
153	153	none	game_F0153.swf	101907	43	2	0.17
154	154	none	game_F0154.swf	103100	45	2	0.17
155	155	none	game_F0155.swf	108781	51	2	0.17
156	156	none	game_F0156.swf	110064	54	2	0.17
157	157	none	game_F0157.swf	108880	52	2	0.17
158	158	none	game_F0158.swf	101851	43	2	0.17
159	159	none	game_F0159.swf	100700	37	2	0.17
160	160	none	game_F0160.swf	100931	41	2	0.17
161	161	none	game_F0161.swf	101278	43	2	0.17
162	162	none	game_F0162.swf	101859	43	2	0.17
163	163	none	game_F0163.swf	536	1	2	0.17
164	164	none	game_F0164.swf	101855	43	2	0.17
